site,basin_areasqkm,springprev_point,springprev_basinmean,springprev_iew01km,springprev_iew05km,springprev_basinmean_log,springprev_iew01km_log,springprev_iew05km_log
2011,43.90784248605893,0.09811980277299881,0.059849048667894283,0.06190778149891281,0.059221700083757156,-2.8159297423777647,-2.782109396386182,-2.8264672487883495
2012,44.02786141790079,0.0998551994562149,0.05979979398603641,0.06062642354306048,0.05909884013712925,-2.816753063081044,-2.80302444887752,-2.828543980191951
2013,44.2350639134395,0.09271489828824997,0.059498381498980575,0.056722799561795746,0.05830993396329221,-2.8218061684983313,-2.8695790403988113,-2.841982806259566
2014,44.49208558823846,0.07690619677305222,0.059410608442343915,0.05573844776104215,0.05808903478039279,-2.8232824752539707,-2.887085105162485,-2.845778363049762
2015,44.5295308479688,0.1129089966416359,0.05940219307017615,0.056176995843713204,0.058095435474495756,-2.823424132921742,-2.879247932503822,-2.845668181472217
2016,2.411135050574742,0.1117440015077591,0.04376010244029997,0.04436158647383374,0.04387686437759733,-3.1290327799136564,-3.1153813535273516,-3.126368105162215
2017,2.701719971136361,0.11336100101470947,0.04508923678814214,0.04585552681374415,0.04523784812276402,-3.0991117131030843,-3.0822595463501856,-3.0958211946753202
2018,2.851824511231735,0.11913300305604935,0.04557833279660235,0.04640359029479608,0.045740761083005045,-3.0883228333543635,-3.0703784457003573,-3.0847654511948224
2019,2.957043264822711,0.1476060003042221,0.047307080382241726,0.048977927233576864,0.047626074472503846,-3.0510953037303383,-3.0163855469820575,-3.044374884687327
2020,3.449897288174467,0.10392700135707855,0.04859652982362305,0.05066228953846839,0.04901040647192867,-3.0242031534311007,-2.982573441223985,-3.015722626442172
2021,3.548565143194364,0.10490799695253372,0.049224666941891426,0.05170319470032691,0.0497199089657059,-3.0113604205155626,-2.962235706333791,-3.001349843280444
2022,3.697537429215478,0.138496994972229,0.04995124235227062,0.05253003028157919,0.050479117293627904,-2.996707902279546,-2.9463702675538554,-2.986195547161418
2023,3.730372797361301,0.10216400027275085,0.050754570231837014,0.05390551348489838,0.051386912778666506,-2.980753611285542,-2.9205225152985834,-2.968371754142012
2024,4.26301746388589,0.14557600021362305,0.05093588679318208,0.053880757144830836,0.051531456980518295,-2.9771875588004684,-2.920981875110519,-2.9655628426283993
2025,4.309601631501661,0.11938399821519852,0.05251407387937556,0.05758113629311161,0.05345216982208126,-2.946674071417077,-2.854560259829718,-2.9289680469733823
2026,4.411180996997224,0.03536539897322655,0.05325862187182128,0.05861504058950726,0.05431189456647294,-2.932595574413266,-2.836763949982133,-2.9130120232412495
2027,4.449758510803806,0.16701999306678772,0.054787265445316195,0.06262014618856959,0.05624458175692121,-2.9042974944178783,-2.770668228551796,-2.8780455668584937
2028,8.0875291002e-5,0.09799669682979584,0.09799669682979584,0.09799669682979584,0.09799669682979584,-2.3228215066980287,-2.3228215066980287,-2.3228215066980287
2029,2.911186974823563,0.02557690069079399,0.007869330366947763,0.008080171108947596,0.007910306335050125,-4.8447823069648095,-4.8183422298234095,-4.83958877038608
2030,3.120977479676811,0.03504149988293648,0.013356758557608145,0.014485938355189779,0.013576316317001898,-4.315732763244865,-4.234576868693014,-4.299428451601412
2031,3.417951548227875,0.04186460003256798,0.01672534578251295,0.018261596295142474,0.017041275204676725,-4.090829998591849,-4.002954987310812,-4.072116924425831
2032,3.562071316789476,0.03622420132160187,0.019704374097698058,0.022251765160517592,0.020224790368067073,-3.926914632468264,-3.805333940459618,-3.9008461810818016
2033,5.915137908427594,0.04508170112967491,0.022297370474744317,0.024603679764805746,0.02282914106437469,-3.803286523399442,-3.704859263295188,-3.7797174422592517
2034,6.146036864231496,0.04901289939880371,0.022737056440868136,0.024865321589075888,0.023257072516594937,-3.783759243151458,-3.6942811534956568,-3.761145998944318
2035,8.476943626135647,0.04537099972367287,0.022801127427923056,0.02416443786018573,0.023202744943868252,-3.7809452956511667,-3.7228732365178137,-3.7634846907626778
2036,9.015653939483464,0.05291710048913956,0.022083260996772488,0.022395718847538507,0.022290844465262347,-3.8129353784071296,-3.7988854612651926,-3.8035792469156156
2037,10.419487240654279,0.014415300451219082,0.02077285214891929,0.019242730549447428,0.02065645827544246,-3.8741083299189687,-3.9506219233648805,-3.8797272590548997
2038,10.729158729892063,0.05095060169696808,0.01999001257279583,0.017589447357689986,0.019687971430712072,-3.9125225015157574,-4.040456138708603,-3.927747416996016
2039,10.830171968351651,0.04228530079126358,0.019465696404097246,0.016758918833790326,0.01906545141236354,-3.93910152131351,-4.088824694732705,-3.959877408409591
2040,11.043035734262753,0.18680599331855774,0.019464456544672583,0.017649391955949393,0.01912704072170359,-3.9391652179255794,-4.037053946284102,-3.9566522005592453
2041,11.221284875625898,0.2380259931087494,0.022101635039580007,0.02666657365309473,0.022686506624835283,-3.8121036895036853,-3.6243444209913958,-3.7859849530468916
2042,12.092877886730477,0.23703399300575256,0.02592158802559717,0.03933167861346994,0.02791177706001126,-3.6526791429551295,-3.2357250132185826,-3.578706562374788
2043,12.25018032772474,0.17581099271774292,0.02990113698900892,0.050704629891390435,0.03324504923849948,-3.509858772920223,-2.981738053197545,-3.4038494180489693
2044,12.305660777350232,0.2791860103607178,0.03386001670251767,0.06353113801781823,0.03866463100902042,-3.38552040899559,-2.756225130786559,-3.2528300242481856
2045,2.865330684827274,0.028488999232649803,0.01377022863826074,0.014141106245252536,0.013844468217558291,-4.285246362293672,-4.258669386407547,-4.279869532807372
2046,2.97766646402592,0.018276600167155266,0.014911074867741576,0.015144572679475929,0.014963632498938187,-4.205651062412088,-4.190113050188157,-4.202132521810232
2047,3.3911818269077,0.022321799769997597,0.013638560207956622,0.01338325119463912,0.013597129970258023,-4.294854188739732,-4.313751264663175,-4.2978965401091065
2048,2.114646233768448,0.04769879952073097,0.03198714614701368,0.03287799313049677,0.0321663845819626,-3.4424211397844218,-3.414951746834047,-3.436833328816424
2049,2.180316970060378,0.015263100154697895,0.02430465028861935,0.023938541463778027,0.024232066514120805,-3.7170875770424874,-3.73226550536251,-3.720078460373183
2050,8715.599735474554,0.007430830039083958,0.05947331328129375,0.022361589498407986,0.06713370580240269,-2.822227583324843,-3.8004105465309017,-2.701069039182526
2051,2.37749092951753,0.028567099943757057,0.010513669844059383,0.010741679270902152,0.010559187048427237,-4.555078978632097,-4.5336238454290525,-4.550758987717897
2052,2.827642799221657,0.054524198174476624,0.011544938856224854,0.01211422371241125,0.011655154165907655,-4.461508132315744,-4.41337500333195,-4.452006779133795
2053,3.515163648009918,0.045653101056814194,0.012503641482289555,0.013175415493485549,0.0126396948523689,-4.381735358515736,-4.3294026485445345,-4.370913031981345
2054,3.666157816306971,0.033845700323581696,0.012673474563724722,0.013275232857818864,0.012798420118078057,-4.368244086749527,-4.321855170929344,-4.358433543949614
2055,4.992593463992796,0.03137589991092682,0.011815393290205901,0.011762278524757863,0.011823391384099926,-4.4383520815332576,-4.442857603173911,-4.4376753890290175
