Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.22725E-3,60.783739524,0.196236401,0.013130615,0.488372093,0.407407407
1.23975E-3,61.030562562,0.197839572,0.012933162,0.488372093,0.407407407
1.26441E-3,61.282678836,0.200984682,0.012735709,0.503875969,0.407407407
1.28695E-3,61.538416862,0.203837093,0.012538256,0.503875969,0.407407407
1.3237E-3,61.80265543,0.20844363,0.012340804,0.519379845,0.407407407
1.34614E-3,62.071020045,0.211230829,0.012143351,0.534883721,0.407407407
1.35306E-3,62.341076877,0.21208681,0.011945898,0.534883721,0.407407407
1.36781E-3,62.613543972,0.213904123,0.011748445,0.534883721,0.407407407
1.37872E-3,62.751416145,0.215243494,0.011649719,0.534883721,0.407407407
1.40273E-3,63.031085725,0.21817399,0.011452266,0.534883721,0.407407407
1.41258E-3,63.313021296,0.219369686,0.011254813,0.550387597,0.407407407
1.44256E-3,63.601411701,0.222987432,0.01105736,0.550387597,0.425925926
1.47915E-3,63.894483911,0.227356931,0.010859907,0.550387597,0.425925926
1.50284E-3,64.04476773,0.230160545,0.010761181,0.550387597,0.425925926
1.50759E-3,64.346057452,0.230720143,0.010563728,0.550387597,0.425925926
1.52681E-3,64.609058622,0.232976953,0.010366275,0.558139535,0.425925926
1.5403E-3,64.804520746,0.234552549,0.010267549,0.558139535,0.444444444
1.60293E-3,65.119649753,0.241783242,0.010070096,0.565891473,0.444444444
1.60564E-3,65.280213408,0.242092756,0.009971369,0.565891473,0.444444444
1.62878E-3,65.604569123,0.244728332,0.009773916,0.573643411,0.444444444
1.63002E-3,65.767570777,0.244868571,0.00967519,0.573643411,0.444444444
1.66245E-3,66.099479268,0.248529447,0.009477737,0.573643411,0.444444444
1.66279E-3,66.26575819,0.248568067,0.009379011,0.573643411,0.444444444
1.66657E-3,66.598899454,0.248992746,0.009181558,0.573643411,0.444444444
1.72836E-3,66.771735191,0.255861881,0.009082831,0.581395349,0.444444444
1.77994E-3,67.085545167,0.261500861,0.008885379,0.581395349,0.444444444
1.8474E-3,67.309496159,0.268748408,0.008786652,0.581395349,0.5
1.89853E-3,67.688239702,0.274147198,0.008589199,0.589147287,0.5
1.92313E-3,67.88055319,0.2767173,0.008490473,0.589147287,0.5
1.92913E-3,68.073466131,0.277340626,0.008391746,0.589147287,0.5
1.94816E-3,68.268281981,0.279312219,0.00829302,0.589147287,0.5
1.98173E-3,68.664071835,0.282763972,0.008095567,0.596899225,0.518518519
1.98911E-3,68.86298318,0.283519258,0.007996841,0.596899225,0.518518519
1.99563E-3,69.062546465,0.284184427,0.007898114,0.604651163,0.518518519
2.00389E-3,69.262935623,0.285025286,0.007799388,0.612403101,0.518518519
2.04245E-3,69.669222106,0.288925288,0.007601935,0.627906977,0.537037037
2.04426E-3,69.873648479,0.289107494,0.007503209,0.635658915,0.537037037
2.08337E-3,70.081985654,0.293017674,0.007404482,0.643410853,0.537037037
2.10722E-3,70.292707237,0.295380665,0.007305756,0.643410853,0.537037037
2.12487E-3,70.505194573,0.297120404,0.007207029,0.643410853,0.537037037
2.21715E-3,70.94417878,0.306073821,0.007009576,0.651162791,0.537037037
2.23352E-3,71.084778462,0.307638781,0.00691085,0.658914729,0.537037037
2.25144E-3,71.393649529,0.309343206,0.006812124,0.658914729,0.555555556
2.2837E-3,71.622020009,0.312391738,0.006713397,0.666666667,0.555555556
2.36321E-3,71.858340866,0.319789336,0.006614671,0.674418605,0.611111111
2.41203E-3,72.099543908,0.324253703,0.006515944,0.674418605,0.611111111
2.41252E-3,72.340795605,0.324297899,0.006417218,0.682170543,0.611111111
2.46904E-3,72.587699733,0.329393283,0.006318491,0.682170543,0.611111111
2.51722E-3,72.839421902,0.333676225,0.006219765,0.689922481,0.611111111
2.52831E-3,73.092252717,0.334654012,0.006121039,0.689922481,0.611111111
2.54055E-3,73.346307948,0.335730575,0.006022312,0.689922481,0.611111111
2.63038E-3,73.574774164,0.3435231,0.005923586,0.697674419,0.611111111
2.64946E-3,73.875706202,0.345154843,0.005824859,0.705426357,0.62962963
2.65421E-3,74.141127463,0.345560295,0.005726133,0.705426357,0.62962963
2.68492E-3,74.40961991,0.348166634,0.005627406,0.713178295,0.62962963
2.69884E-3,74.679503859,0.3493407,0.00552868,0.713178295,0.62962963
2.71321E-3,74.95082464,0.350548583,0.005429954,0.713178295,0.62962963
2.7542E-3,75.226244685,0.353970139,0.005331227,0.720930233,0.62962963
2.78405E-3,75.504649201,0.356438612,0.005232501,0.720930233,0.62962963
2.80189E-3,75.784838137,0.357905526,0.005133774,0.728682171,0.62962963
2.81742E-3,76.066579982,0.359176689,0.005035048,0.736434109,0.62962963
2.84491E-3,76.266329067,0.361414754,0.004936321,0.744186047,0.62962963
2.90668E-3,76.642921819,0.366387078,0.004837595,0.751937984,0.648148148
2.92715E-3,76.935637164,0.3680178,0.004738869,0.751937984,0.648148148
2.93077E-3,77.228714391,0.368305207,0.004640142,0.751937984,0.648148148
3.02802E-3,77.434358481,0.375931534,0.004541416,0.751937984,0.648148148
3.07624E-3,77.536338205,0.379645566,0.004541416,0.751937984,0.666666667
3.13253E-3,77.84959084,0.383925225,0.004442689,0.751937984,0.666666667
3.21289E-3,78.170879977,0.389934136,0.004343963,0.751937984,0.666666667
3.22123E-3,78.493003288,0.390551142,0.004245236,0.759689922,0.666666667
3.25921E-3,78.818924721,0.393344757,0.00414651,0.76744186,0.666666667
3.26559E-3,79.14548409,0.393811465,0.004047784,0.76744186,0.666666667
3.29307E-3,79.47479135,0.395813615,0.003949057,0.76744186,0.666666667
3.43802E-3,79.81859361,0.40615973,0.003850331,0.775193798,0.666666667
3.44341E-3,80.162934704,0.406537507,0.003751604,0.775193798,0.666666667
3.4478E-3,80.507714646,0.406844829,0.003652878,0.775193798,0.666666667
3.49432E-3,80.857146887,0.410083339,0.003554151,0.775193798,0.666666667
3.5632E-3,81.105151353,0.414813567,0.003455425,0.782945736,0.666666667
3.65723E-3,81.582283674,0.421149744,0.003356699,0.782945736,0.685185185
3.76029E-3,81.958312911,0.427939324,0.003257972,0.790697674,0.685185185
3.8546E-3,82.343773029,0.434013937,0.003159246,0.798449612,0.685185185
3.95598E-3,82.739371198,0.440401791,0.003060519,0.798449612,0.685185185
3.97439E-3,82.798682902,0.44154639,0.002961793,0.80620155,0.685185185
4.08271E-3,83.147642378,0.448186934,0.002961793,0.80620155,0.722222222
4.3677E-3,83.584412859,0.464927021,0.002863066,0.813953488,0.740740741
4.3762E-3,84.022032583,0.465410284,0.00276434,0.821705426,0.740740741
4.37862E-3,84.459894556,0.465547976,0.002665614,0.821705426,0.740740741
4.3815E-3,84.89804446,0.465711542,0.002566887,0.821705426,0.740740741
4.44955E-3,85.342999031,0.469548148,0.002468161,0.829457364,0.740740741
4.47219E-3,85.682243132,0.470812525,0.002369434,0.837209302,0.740740741
4.47944E-3,85.790943211,0.471216381,0.002369434,0.837209302,0.759259259
4.56285E-3,86.247228446,0.475815783,0.002270708,0.84496124,0.759259259
4.57427E-3,86.363230964,0.476439313,0.002171981,0.852713178,0.759259259
4.60822E-3,86.708050519,0.478284037,0.002171981,0.852713178,0.777777778
4.79033E-3,87.187083907,0.487962266,0.002073255,0.860465116,0.777777778
4.82644E-3,87.669728376,0.489838838,0.001974529,0.868217054,0.777777778
4.94286E-3,87.996263221,0.495796117,0.001875802,0.875968992,0.777777778
5.00488E-3,88.170216344,0.498913256,0.001875802,0.875968992,0.796296296
5.14514E-3,88.684729857,0.505822557,0.001777076,0.88372093,0.796296296
5.43001E-3,89.193686152,0.519285621,0.001678349,0.891472868,0.796296296
5.45461E-3,89.262604004,0.520413705,0.001579623,0.899224806,0.814814815
5.52436E-3,89.78218555,0.523584273,0.001579623,0.899224806,0.833333333
5.52884E-3,90.335069191,0.523786288,0.001480896,0.906976744,0.833333333
5.7442E-3,90.823339865,0.533308294,0.00138217,0.906976744,0.851851852
5.85125E-3,91.498589657,0.537900878,0.001283444,0.914728682,0.87037037
5.93542E-3,91.712599666,0.541449097,0.001184717,0.914728682,0.87037037
5.97349E-3,91.809380654,0.543035865,0.001184717,0.914728682,0.888888889
6.09081E-3,92.107670375,0.547858104,0.001184717,0.914728682,0.907407407
