"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"L[64]",51,0,51,51,51,51,51,1,1
"L[65]",65.0681818181818,0,65.0681818181818,65.0681818181818,65.0681818181818,65.0681818181818,65.0681818181818,1,1
"L[66]",72.448275862069,0,72.448275862069,72.448275862069,72.448275862069,72.448275862069,72.448275862069,1,1
"L[67]",34.0555555555556,0,34.0555555555556,34.0555555555556,34.0555555555556,34.0555555555556,34.0555555555556,1,1
"L[68]",53.6666666666667,0,53.6666666666667,53.6666666666667,53.6666666666667,53.6666666666667,53.6666666666667,1,1
"L[69]",67.52,0,67.52,67.52,67.52,67.52,67.52,1,1
"L[70]",70.4489795918367,0,70.4489795918367,70.4489795918367,70.4489795918367,70.4489795918367,70.4489795918367,1,1
"L[71]",35.4166666666667,0,35.4166666666667,35.4166666666667,35.4166666666667,35.4166666666667,35.4166666666667,1,1
"L[72]",69.94,0,69.94,69.94,69.94,69.94,69.94,1,1
"L[73]",36.6666666666667,0,36.6666666666667,36.6666666666667,36.6666666666667,36.6666666666667,36.6666666666667,1,1
"L[74]",48.75,0,48.75,48.75,48.75,48.75,48.75,1,1
"L[75]",40.0666666666667,0,40.0666666666667,40.0666666666667,40.0666666666667,40.0666666666667,40.0666666666667,1,1
"L[76]",26.6666666666667,0,26.6666666666667,26.6666666666667,26.6666666666667,26.6666666666667,26.6666666666667,1,1
"L[77]",36.9090909090909,0,36.9090909090909,36.9090909090909,36.9090909090909,36.9090909090909,36.9090909090909,1,1
"L[78]",44.5555555555556,0,44.5555555555556,44.5555555555556,44.5555555555556,44.5555555555556,44.5555555555556,1,1
"L[79]",51.5,0,51.5,51.5,51.5,51.5,51.5,1,1
"L[80]",28.18,0,28.18,28.18,28.18,28.18,28.18,1,1
"L[81]",39.2142857142857,0,39.2142857142857,39.2142857142857,39.2142857142857,39.2142857142857,39.2142857142857,1,1
"L[82]",54.3673469387755,0,54.3673469387755,54.3673469387755,54.3673469387755,54.3673469387755,54.3673469387755,1,1
"L[83]",58.1363636363636,0,58.1363636363636,58.1363636363636,58.1363636363636,58.1363636363636,58.1363636363636,1,1
"L[84]",26.02,0,26.02,26.02,26.02,26.02,26.02,1,1
"L[85]",35.2978723404255,0,35.2978723404255,35.2978723404255,35.2978723404255,35.2978723404255,35.2978723404255,1,1
"L[86]",47.4888888888889,0,47.4888888888889,47.4888888888889,47.4888888888889,47.4888888888889,47.4888888888889,1,1
"L[87]",54.4285714285714,0,54.4285714285714,54.4285714285714,54.4285714285714,54.4285714285714,54.4285714285714,1,1
"L[88]",24.84,0,24.84,24.84,24.84,24.84,24.84,1,1
"L[89]",36.71875,0,36.71875,36.71875,36.71875,36.71875,36.71875,1,1
"L[90]",47.6326530612245,0,47.6326530612245,47.6326530612245,47.6326530612245,47.6326530612245,47.6326530612245,1,1
"L[91]",53.6190476190476,0,53.6190476190476,53.6190476190476,53.6190476190476,53.6190476190476,53.6190476190476,1,1
"L[92]",46.5102040816327,0,46.5102040816326,46.5102040816326,46.5102040816326,46.5102040816326,46.5102040816326,1,1
"L[93]",53.4634146341463,0,53.4634146341463,53.4634146341463,53.4634146341463,53.4634146341463,53.4634146341463,1,1
"L[94]",42.25,0,42.25,42.25,42.25,42.25,42.25,1,1
"L[95]",53.6923076923077,0,53.6923076923077,53.6923076923077,53.6923076923077,53.6923076923077,53.6923076923077,1,1
"L[96]",52,0,52,52,52,52,52,1,1
"L[97]",26.7,0,26.7,26.7,26.7,26.7,26.7,1,1
"L[98]",40.3513513513514,0,40.3513513513514,40.3513513513514,40.3513513513514,40.3513513513514,40.3513513513514,1,1
"L[99]",47.8775510204082,0,47.8775510204082,47.8775510204082,47.8775510204082,47.8775510204082,47.8775510204082,1,1
"L[100]",56.2,0,56.2,56.2,56.2,56.2,56.2,1,1
"L[101]",25.48,0,25.48,25.48,25.48,25.48,25.48,1,1
"L[102]",33.02,0,33.02,33.02,33.02,33.02,33.02,1,1
"L[103]",51.7,0,51.7,51.7,51.7,51.7,51.7,1,1
"L[104]",51.3125,0,51.3125,51.3125,51.3125,51.3125,51.3125,1,1
"L[105]",30.7631578947368,0,30.7631578947368,30.7631578947368,30.7631578947368,30.7631578947368,30.7631578947368,1,1
"L[106]",42.6666666666667,0,42.6666666666667,42.6666666666667,42.6666666666667,42.6666666666667,42.6666666666667,1,1
"L[107]",54.9387755102041,0,54.9387755102041,54.9387755102041,54.9387755102041,54.9387755102041,54.9387755102041,1,1
"L[108]",59.1041666666667,0,59.1041666666667,59.1041666666667,59.1041666666667,59.1041666666667,59.1041666666667,1,1
"L[109]",26.8,0,26.8,26.8,26.8,26.8,26.8,1,1
"L[110]",33.78,0,33.78,33.78,33.78,33.78,33.78,1,1
"L[111]",49.74,0,49.74,49.74,49.74,49.74,49.74,1,1
"L[112]",56.66,0,56.66,56.66,56.66,56.66,56.66,1,1
"L[113]",36.3611111111111,0,36.3611111111111,36.3611111111111,36.3611111111111,36.3611111111111,36.3611111111111,1,1
"L[114]",47.96,0,47.96,47.96,47.96,47.96,47.96,1,1
"L[115]",54.62,0,54.62,54.62,54.62,54.62,54.62,1,1
"L[116]",59.88,0,59.88,59.88,59.88,59.88,59.88,1,1
"L[117]",35.76,0,35.76,35.76,35.76,35.76,35.76,1,1
"L[118]",48.8333333333333,0,48.8333333333333,48.8333333333333,48.8333333333333,48.8333333333333,48.8333333333333,1,1
"L[119]",56.5,0,56.5,56.5,56.5,56.5,56.5,1,1
"L[120]",61.3265306122449,0,61.3265306122449,61.3265306122449,61.3265306122449,61.3265306122449,61.3265306122449,1,1
"L[121]",42.21875,0,42.21875,42.21875,42.21875,42.21875,42.21875,1,1
"L[122]",50.3,0,50.3,50.3,50.3,50.3,50.3,1,1
"L[123]",53.7407407407407,0,53.7407407407407,53.7407407407407,53.7407407407407,53.7407407407407,53.7407407407407,1,1
"L[124]",68.5,0,68.5,68.5,68.5,68.5,68.5,1,1
"L[125]",36.68,0,36.68,36.68,36.68,36.68,36.68,1,1
"L[126]",49.06,0,49.06,49.06,49.06,49.06,49.06,1,1
"L[127]",53.2631578947368,0,53.2631578947368,53.2631578947368,53.2631578947368,53.2631578947368,53.2631578947368,1,1
"L[128]",61.94,0,61.94,61.94,61.94,61.94,61.94,1,1
"L[129]",47.1111111111111,0,47.1111111111111,47.1111111111111,47.1111111111111,47.1111111111111,47.1111111111111,1,1
"L[130]",55.125,0,55.125,55.125,55.125,55.125,55.125,1,1
"L[131]",65,0,65,65,65,65,65,1,1
"L[132]",35.66,0,35.66,35.66,35.66,35.66,35.66,1,1
"L[133]",37.72,0,37.72,37.72,37.72,37.72,37.72,1,1
"L[134]",43.12,0,43.12,43.12,43.12,43.12,43.12,1,1
"L[135]",52.66,0,52.66,52.66,52.66,52.66,52.66,1,1
"L[136]",32.375,0,32.375,32.375,32.375,32.375,32.375,1,1
"L[137]",44.96,0,44.96,44.96,44.96,44.96,44.96,1,1
"L[138]",47.96,0,47.96,47.96,47.96,47.96,47.96,1,1
"L[139]",54.12,0,54.12,54.12,54.12,54.12,54.12,1,1
"L[140]",38.3103448275862,0,38.3103448275862,38.3103448275862,38.3103448275862,38.3103448275862,38.3103448275862,1,1
"L[141]",49.16,0,49.16,49.16,49.16,49.16,49.16,1,1
"L[142]",52.7,0,52.7,52.7,52.7,52.7,52.7,1,1
"L[143]",52.74,0,52.74,52.74,52.74,52.74,52.74,1,1
"L[144]",44.025641025641,0,44.025641025641,44.025641025641,44.025641025641,44.025641025641,44.025641025641,1,1
"L[145]",39.82,0,39.82,39.82,39.82,39.82,39.82,1,1
"L[146]",47.38,0,47.38,47.38,47.38,47.38,47.38,1,1
"L[147]",52.86,0,52.86,52.86,52.86,52.86,52.86,1,1
"L[148]",41.25,0,41.25,41.25,41.25,41.25,41.25,1,1
"L[149]",44.4166666666667,0,44.4166666666667,44.4166666666667,44.4166666666667,44.4166666666667,44.4166666666667,1,1
"L[150]",60.5714285714286,0,60.5714285714286,60.5714285714286,60.5714285714286,60.5714285714286,60.5714285714286,1,1
"L[151]",58.5625,0,58.5625,58.5625,58.5625,58.5625,58.5625,1,1
"L[152]",46.1428571428571,0,46.1428571428572,46.1428571428572,46.1428571428572,46.1428571428572,46.1428571428572,1,1
"L[153]",48.2857142857143,0,48.2857142857143,48.2857142857143,48.2857142857143,48.2857142857143,48.2857142857143,1,1
"L[154]",57.6153846153846,0,57.6153846153846,57.6153846153846,57.6153846153846,57.6153846153846,57.6153846153846,1,1
"L[155]",61.8518518518519,0,61.8518518518518,61.8518518518518,61.8518518518518,61.8518518518518,61.8518518518518,1,1
"L[156]",47.7058823529412,0,47.7058823529412,47.7058823529412,47.7058823529412,47.7058823529412,47.7058823529412,1,1
"L[157]",47.6428571428571,0,47.6428571428571,47.6428571428571,47.6428571428571,47.6428571428571,47.6428571428571,1,1
